Horizon,Problem,Bound
600,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],5414400
600,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],5529600
600,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],5529600
600,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],5587200
600,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],7070300
600,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350],13823999
600,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],13653200
600,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350],13535900
600,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350],13823999
600,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350],16315700
600,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],14337899
600,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],14337899
600,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],14337899
600,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],14337899
600,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],19269000
600,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350],14572799
600,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],14515199
600,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],14284799
600,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],14918399
600,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],21973260
600,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],15061480
600,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],14656200
600,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],14688100
600,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],15551999
600,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],20614980
600,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],15240280
600,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],15240280
600,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350],15240280
600,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350],15321599
600,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350],20860020
600,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350],12211199
600,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350],12211199
600,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350],12211199
600,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350],12211199
600,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350],14067220
660,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],5990400
660,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],5990400
660,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],5990400
660,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],6163200
660,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],7280000
660,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350],14860799
660,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],14860799
660,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350],14860799
660,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350],14860799
660,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350],17323940
660,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],15892599
