Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
fire,900,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],102.2626003921032,80.06399655342102,94.91199892759323,,,277.23859587311745
clingcon,900,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],104.2626003921032,79.48799657821655,95.35899892449379,,,279.10959589481354
fire,900,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],100.66860041022301,79.48799657821655,95.35899892449379,88.71499724686146,,364.23059315979481
clingcon,900,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],104.2626003921032,79.48799657821655,95.35899892449379,88.71499724686146,,367.82459314167500
fire,900,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],102.2626003921032,78.33599662780762,94.01799893379211,87.39699728786945,90.87500005960464,452.88859330117702
clingcon,900,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],104.2626003921032,79.48799657821655,95.35899892449379,88.05599726736546,91.69900006055832,458.86459322273732
fire,900,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],104.2626003921032,81.79199647903442,,,,186.05459687113762
clingcon,900,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],104.2626003921032,79.48799657821655,,,,183.75059697031975
fire,900,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],102.2626003921032,,,,,102.2626003921032
clingcon,900,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],104.2626003921032,,,,,104.2626003921032
fire,900,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350],240.9134022295475,196.99199151992798,228.964797437191,,,666.87019118666648
clingcon,900,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350],240.2574022114277,195.26399159431458,228.0707974433899,,,663.59219124913218
fire,900,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],240.9134022295475,196.99199151992798,228.964797437191,212.10099340975285,,878.97118459641933
clingcon,900,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],240.2574022114277,195.26399159431458,228.0707974433899,211.35499343276024,,874.94718468189242
fire,900,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350],240.9134022295475,196.99199151992798,228.964797437191,207.74899354577065,212.0009999871254,1086.62018471956253
clingcon,900,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350],240.2574022114277,195.26399159431458,228.0707974433899,211.35499343276024,209.52899998426437,1084.47618466615679
fire,900,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350],240.9134022295475,196.99199151992798,,,,437.90539374947548
clingcon,900,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350],240.2574022114277,195.26399159431458,,,,435.52139380574228
fire,900,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350],240.9134022295475,,,,,240.9134022295475
clingcon,900,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350],240.2574022114277,,,,,240.2574022114277
fire,900,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],286.33399276435375,203.16799211502075,242.96000242233276,,,732.46198730170726
clingcon,900,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],290.26199273765087,209.2979918718338,249.4980025291443,,,749.05798713862897
fire,900,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],286.33399276435375,208.85399186611176,248.5640025138855,331.2099907398224,,1074.96197788417341
clingcon,900,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],290.26199273765087,209.2979918718338,249.4980025291443,337.7779905796051,,1086.83597771823407
fire,900,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],286.33399276435375,209.2979918718338,249.4980025291443,338.59899055957794,361.8459995985031,1445.57497732341289
clingcon,900,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],290.26199273765087,209.2979918718338,249.4980025291443,338.59899055957794,361.8459995985031,1449.50297729671001
fire,900,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],286.97899274528027,213.29399192333221,,,,500.27298466861248
clingcon,900,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],290.26199273765087,209.2979918718338,,,,499.55998460948467
fire,900,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],286.33399276435375,,,,,286.33399276435375
clingcon,900,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],290.26199273765087,,,,,290.26199273765087
fire,900,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350],311.9718023240566,212.5439908504486,228.7011974453926,,,753.2169906198978
clingcon,900,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350],308.3064022064209,211.96799087524414,225.38879746198654,,,745.66319054365158
fire,900,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],291.39860197901726,196.4159915447235,222.7067974805832,207.5459935516119,,918.06738455593586
clingcon,900,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],308.3064022064209,211.96799087524414,225.38879746198654,209.4359934926033,,955.09918403625488
fire,900,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],302.63640236854553,205.05599117279053,225.38879746198654,204.1719936579466,244.95699959993362,1182.21018426120282
clingcon,900,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],308.3064022064209,211.96799087524414,225.38879746198654,209.4359934926033,247.42899960279465,1202.52818363904953
fire,900,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],315.8520024418831,217.15199065208435,,,,533.00399309396745
clingcon,900,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],308.3064022064209,211.96799087524414,,,,520.27439308166504
fire,900,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],318.68000215291977,,,,,318.68000215291977
clingcon,900,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],308.3064022064209,,,,,308.3064022064209
fire,900,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],309.7804016470909,212.5439908504486,220.16279768943787,,,742.48719018697737
clingcon,900,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],309.7804016470909,223.4879903793335,225.52679765224457,,,758.79518967866897
fire,900,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],309.7804016470909,216.57599067687988,220.16279768943787,215.71499329805374,,962.23418331146239
clingcon,900,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],309.7804016470909,223.4879903793335,225.52679765224457,219.75599317252636,,978.55118285119533
fire,900,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],309.1244016289711,224.63999032974243,226.42079764604568,220.3569931536913,233.06699949502945,1213.60918225347996
clingcon,900,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],309.7804016470909,223.4879903793335,225.52679765224457,219.75599317252636,233.06699949502945,1211.61818234622478
fire,900,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],309.1244016289711,224.63999032974243,,,,533.76439195871353
clingcon,900,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],309.7804016470909,223.4879903793335,,,,533.2683920264244
fire,900,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],309.7804016470909,,,,,309.7804016470909
clingcon,900,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],309.7804016470909,,,,,309.7804016470909
fire,900,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],303.0032020807266,217.72799062728882,225.79039764404297,,,746.52159035205839
clingcon,900,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],314.0632016658783,217.72799062728882,225.79039764404297,,,757.58158993721009
fire,900,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],303.0032020807266,220.60799050331116,225.79039764404297,217.06199325621128,,966.46358348429201
clingcon,900,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],314.0632016658783,217.72799062728882,225.79039764404297,219.40799318253994,,976.98958311975003
fire,900,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350],303.0032020807266,218.3039906024933,226.23739764094353,220.06699316203594,232.83399975299835,1200.44558323919772
clingcon,900,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350],314.0632016658783,217.72799062728882,225.79039764404297,219.40799318253994,232.00999975204468,1208.99958287179471
fire,900,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350],311.93740180134773,219.45599055290222,,,,531.39339235424995
clingcon,900,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350],314.0632016658783,217.72799062728882,,,,531.79119229316712
fire,900,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350],311.93740180134773,,,,,311.93740180134773
clingcon,900,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350],314.0632016658783,,,,,314.0632016658783
fire,900,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350],205.5486023724079,171.07199263572693,191.5435979962349,,,568.16419300436973
clingcon,900,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350],204.2366023361683,169.919992685318,189.3085980117321,,,563.4651930332184
fire,900,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350],205.5486023724079,171.07199263572693,188.41459801793098,179.46199442446232,,744.49718745052813
clingcon,900,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350],204.2366023361683,169.919992685318,189.3085980117321,178.49199445545673,,741.95718748867513
fire,900,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350],205.5486023724079,171.07199263572693,191.5435979962349,180.46899439394474,201.28599965572357,949.91918705403804
clingcon,900,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350],204.2366023361683,169.919992685318,189.3085980117321,178.49199445545673,198.81399965286255,940.77118714153768
fire,900,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350],205.5486023724079,171.07199263572693,,,,376.62059500813483
clingcon,900,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350],204.2366023361683,169.919992685318,,,,374.1565950214863
fire,900,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350],204.8926023542881,,,,,204.8926023542881
clingcon,900,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350],204.2366023361683,,,,,204.2366023361683
fire,840,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],94.53340044617653,77.75999665260315,90.93499901890755,,,263.22839611768723
clingcon,840,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],96.53340044617653,79.48799657821655,93.59399896860123,,,269.61539599299431
fire,840,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],94.53340044617653,77.75999665260315,90.93499901890755,84.10199739038944,,347.33039350807667
clingcon,840,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],96.53340044617653,79.48799657821655,93.59399896860123,83.44299741089344,,353.05839340388775
fire,840,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],94.53340044617653,77.75999665260315,90.93499901890755,84.10199739038944,86.75500005483627,434.08539356291294
clingcon,840,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],96.53340044617653,79.48799657821655,93.59399896860123,83.44299741089344,86.75500005483627,439.81339345872402
fire,840,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],96.53340044617653,79.48799657821655,,,,176.02139702439308
clingcon,840,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],96.53340044617653,79.48799657821655,,,,176.02139702439308
fire,840,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],94.53340044617653,,,,,94.53340044617653
clingcon,840,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],96.53340044617653,,,,,96.53340044617653
fire,840,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350],222.35240191221237,187.7759919166565,209.9731976389885,,,620.10159146785737
clingcon,840,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350],220.09620186686516,183.74399209022522,209.07919764518738,,,612.91939160227776
fire,840,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],222.35240191221237,187.7759919166565,209.9731976389885,187.71799416840076,,807.81958563625813
clingcon,840,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],220.09620186686516,183.74399209022522,209.07919764518738,186.97199419140816,,799.89138579368592
fire,840,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350],222.35240191221237,184.3199920654297,209.9731976389885,187.97899416089058,198.46399998664856,1003.08858576416971
clingcon,840,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350],220.09620186686516,183.74399209022522,209.07919764518738,186.97199419140816,197.63999998569489,997.53138577938081
fire,840,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350],222.35240191221237,187.7759919166565,,,,410.12839382886887
clingcon,840,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350],220.09620186686516,183.74399209022522,,,,403.84019395709038
fire,840,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350],222.82860186696053,,,,,222.82860186696053
clingcon,840,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350],220.09620186686516,,,,,220.09620186686516
fire,840,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],262.06399343907833,190.90799260139465,230.35000222921371,,,683.32198826968669
clingcon,840,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],265.34699343144894,190.90799260139465,230.35000222921371,,,686.60498826205730
fire,840,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],262.06399343907833,190.4639925956726,229.41600221395493,315.61099112033844,,997.55497936904430
clingcon,840,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],265.34699343144894,190.90799260139465,230.35000222921371,322.999990940094,,1009.60497920215130
fire,840,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],262.06399343907833,190.90799260139465,230.35000222921371,321.3579909801483,348.6619995832443,1353.34197883307929
clingcon,840,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],265.34699343144894,190.90799260139465,230.35000222921371,322.999990940094,348.6619995832443,1358.26697878539560
fire,840,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],262.70899342000484,194.90399265289307,,,,457.61298607289791
clingcon,840,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],265.34699343144894,190.90799260139465,,,,456.25498603284359
fire,840,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],262.06399343907833,,,,,262.06399343907833
clingcon,840,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],265.34699343144894,,,,,265.34699343144894
fire,840,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350],293.0082021057606,201.02399134635925,211.26819756627083,,,705.30039101839068
clingcon,840,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350],290.38580176234245,196.99199151992798,207.95579758286476,,,695.33359086513519
fire,840,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],281.5586017072201,194.11199164390564,205.2737976014614,200.12299378216267,,881.06738473474981
clingcon,840,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],290.38580176234245,196.99199151992798,207.95579758286476,202.01299372315407,,897.34658458828926
fire,840,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],287.54840195178986,196.99199151992798,207.95579758286476,202.24499371647835,232.7149996161461,1127.45618438720705
clingcon,840,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],290.38580176234245,196.99199151992798,207.95579758286476,202.01299372315407,227.77099961042404,1125.11758419871330
fire,840,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],294.34400218725204,201.02399134635925,,,,495.36799353361129
clingcon,840,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],290.38580176234245,196.99199151992798,,,,487.37779328227043
fire,840,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],294.5480018258095,,,,,294.5480018258095
clingcon,840,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],290.38580176234245,,,,,290.38580176234245
fire,840,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],288.4858011305332,197.56799149513245,203.54359781742096,,,689.59739044308661
clingcon,840,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],287.274001121521,206.78399109840393,207.85319781303406,,,701.91119003295899
fire,840,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],288.4858011305332,201.02399134635925,203.54359781742096,198.14599384367466,,891.19938413798807
clingcon,840,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],287.274001121521,206.78399109840393,207.85319781303406,200.95599375665188,,902.86718378961087
fire,840,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],288.4858011305332,207.93599104881287,208.48359781503677,197.95099385082722,222.2379995584488,1125.09438340365886
clingcon,840,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],287.274001121521,206.78399109840393,207.85319781303406,200.95599375665188,224.70999956130981,1127.57718335092068
fire,840,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],288.4858011305332,207.93599104881287,,,,496.42179217934607
clingcon,840,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],287.274001121521,206.78399109840393,,,,494.05799221992493
fire,840,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],288.4858011305332,,,,,288.4858011305332
clingcon,840,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],287.274001121521,,,,,287.274001121521
fire,840,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],286.8610019981861,215.42399072647095,217.12579783797264,,,719.41079056262969
clingcon,840,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],293.8272016644478,215.42399072647095,217.12579783797264,,,726.37699022889139
fire,840,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],286.8610019981861,217.72799062728882,217.12579783797264,214.1069933474064,,935.82178381085396
clingcon,840,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],293.8272016644478,215.42399072647095,217.12579783797264,208.2049935311079,,934.58198375999929
