Encoding,Horizon,Problem,Type, counter wrac1_y_wrbc1, counter wrbc1_b_wrcc1, counter wrcc1_x_wrdc1, counter wrdc1_b_wrec1, counter wrec1_y_wrfc1,Total,Diff
clingcon,900,./v2/30morn,p3,104.2626003921032,79.48799657821655,95.35899892449379,,,279.10959589481354,1.871
fire,900,./v2/30morn,p3,102.2626003921032,80.06399655342102,94.91199892759323,,,277.23859587311745,0
clingcon,900,./v2/30morn,p4,104.2626003921032,79.48799657821655,95.35899892449379,88.71499724686146,,367.82459314167500,3.594
fire,900,./v2/30morn,p4,100.66860041022301,79.48799657821655,95.35899892449379,88.71499724686146,,364.23059315979481,0
clingcon,900,./v2/30morn,p5,104.2626003921032,79.48799657821655,95.35899892449379,88.05599726736546,91.69900006055832,458.86459322273732,5.976
fire,900,./v2/30morn,p5,102.2626003921032,78.33599662780762,94.01799893379211,87.39699728786945,90.87500005960464,452.88859330117702,0
clingcon,900,./v2/30morn,p2,104.2626003921032,79.48799657821655,,,,183.75059697031975,0
fire,900,./v2/30morn,p2,104.2626003921032,81.79199647903442,,,,186.05459687113762,2.304
clingcon,900,./v2/30morn,p1,104.2626003921032,,,,,104.2626003921032,2.000
fire,900,./v2/30morn,p1,102.2626003921032,,,,,102.2626003921032,0
clingcon,900,./v2/26morn,p3,240.2574022114277,195.26399159431458,228.0707974433899,,,663.59219124913218,0
fire,900,./v2/26morn,p3,240.9134022295475,196.99199151992798,228.964797437191,,,666.87019118666648,3.278
clingcon,900,./v2/26morn,p4,240.2574022114277,195.26399159431458,228.0707974433899,211.35499343276024,,874.94718468189242,0
fire,900,./v2/26morn,p4,240.9134022295475,196.99199151992798,228.964797437191,212.10099340975285,,878.97118459641933,4.024
clingcon,900,./v2/26morn,p5,240.2574022114277,195.26399159431458,228.0707974433899,211.35499343276024,209.52899998426437,1084.47618466615679,0
fire,900,./v2/26morn,p5,240.9134022295475,196.99199151992798,228.964797437191,207.74899354577065,212.0009999871254,1086.62018471956253,2.144
clingcon,900,./v2/26morn,p2,240.2574022114277,195.26399159431458,,,,435.52139380574228,0
fire,900,./v2/26morn,p2,240.9134022295475,196.99199151992798,,,,437.90539374947548,2.384
clingcon,900,./v2/26morn,p1,240.2574022114277,,,,,240.2574022114277,0
fire,900,./v2/26morn,p1,240.9134022295475,,,,,240.9134022295475,0.656
clingcon,900,./v2/muse,p3,290.26199273765087,209.2979918718338,249.4980025291443,,,749.05798713862897,16.596
fire,900,./v2/muse,p3,286.33399276435375,203.16799211502075,242.96000242233276,,,732.46198730170726,0
clingcon,900,./v2/muse,p4,290.26199273765087,209.2979918718338,249.4980025291443,337.7779905796051,,1086.83597771823407,11.874
fire,900,./v2/muse,p4,286.33399276435375,208.85399186611176,248.5640025138855,331.2099907398224,,1074.96197788417341,0
clingcon,900,./v2/muse,p5,290.26199273765087,209.2979918718338,249.4980025291443,338.59899055957794,361.8459995985031,1449.50297729671001,3.928
fire,900,./v2/muse,p5,286.33399276435375,209.2979918718338,249.4980025291443,338.59899055957794,361.8459995985031,1445.57497732341289,0
clingcon,900,./v2/muse,p2,290.26199273765087,209.2979918718338,,,,499.55998460948467,0
fire,900,./v2/muse,p2,286.97899274528027,213.29399192333221,,,,500.27298466861248,0.713
clingcon,900,./v2/muse,p1,290.26199273765087,,,,,290.26199273765087,3.928
fire,900,./v2/muse,p1,286.33399276435375,,,,,286.33399276435375,0
clingcon,900,./v2/26eve,p3,308.3064022064209,211.96799087524414,225.38879746198654,,,745.66319054365158,0
fire,900,./v2/26eve,p3,311.9718023240566,212.5439908504486,228.7011974453926,,,753.2169906198978,7.554
clingcon,900,./v2/26eve,p4,308.3064022064209,211.96799087524414,225.38879746198654,209.4359934926033,,955.09918403625488,37.032
fire,900,./v2/26eve,p4,291.39860197901726,196.4159915447235,222.7067974805832,207.5459935516119,,918.06738455593586,0
clingcon,900,./v2/26eve,p5,308.3064022064209,211.96799087524414,225.38879746198654,209.4359934926033,247.42899960279465,1202.52818363904953,20.318
fire,900,./v2/26eve,p5,302.63640236854553,205.05599117279053,225.38879746198654,204.1719936579466,244.95699959993362,1182.21018426120282,0
clingcon,900,./v2/26eve,p2,308.3064022064209,211.96799087524414,,,,520.27439308166504,0
fire,900,./v2/26eve,p2,315.8520024418831,217.15199065208435,,,,533.00399309396745,12.730
clingcon,900,./v2/26eve,p1,308.3064022064209,,,,,308.3064022064209,0
fire,900,./v2/26eve,p1,318.68000215291977,,,,,318.68000215291977,10.374
clingcon,900,./v2/26noon,p3,309.7804016470909,223.4879903793335,225.52679765224457,,,758.79518967866897,16.308
fire,900,./v2/26noon,p3,309.7804016470909,212.5439908504486,220.16279768943787,,,742.48719018697737,0
clingcon,900,./v2/26noon,p4,309.7804016470909,223.4879903793335,225.52679765224457,219.75599317252636,,978.55118285119533,16.317
fire,900,./v2/26noon,p4,309.7804016470909,216.57599067687988,220.16279768943787,215.71499329805374,,962.23418331146239,0
clingcon,900,./v2/26noon,p5,309.7804016470909,223.4879903793335,225.52679765224457,219.75599317252636,233.06699949502945,1211.61818234622478,0
fire,900,./v2/26noon,p5,309.1244016289711,224.63999032974243,226.42079764604568,220.3569931536913,233.06699949502945,1213.60918225347996,1.991
clingcon,900,./v2/26noon,p2,309.7804016470909,223.4879903793335,,,,533.2683920264244,0
fire,900,./v2/26noon,p2,309.1244016289711,224.63999032974243,,,,533.76439195871353,0.496
clingcon,900,./v2/26noon,p1,309.7804016470909,,,,,309.7804016470909,
fire,900,./v2/26noon,p1,309.7804016470909,,,,,309.7804016470909,
clingcon,900,./v2/30noon,p3,314.0632016658783,217.72799062728882,225.79039764404297,,,757.58158993721009,11.060
fire,900,./v2/30noon,p3,303.0032020807266,217.72799062728882,225.79039764404297,,,746.52159035205839,0
clingcon,900,./v2/30noon,p4,314.0632016658783,217.72799062728882,225.79039764404297,219.40799318253994,,976.98958311975003,10.526
fire,900,./v2/30noon,p4,303.0032020807266,220.60799050331116,225.79039764404297,217.06199325621128,,966.46358348429201,0
clingcon,900,./v2/30noon,p5,314.0632016658783,217.72799062728882,225.79039764404297,219.40799318253994,232.00999975204468,1208.99958287179471,8.554
fire,900,./v2/30noon,p5,303.0032020807266,218.3039906024933,226.23739764094353,220.06699316203594,232.83399975299835,1200.44558323919772,0
