Time,Horizon,Models,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
42.883,600,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,21777260,,,,,21777260
104.994,600,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,21220740,13536000,,,,34756740
10.172,600,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,21965300,14630400,15025920,,,51621620
44.784,600,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,21805740,14630400,15025920,15420900,,66882960
59.594,600,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,21965300,14572800,15025920,15420900,18739700,85724620
9.01,600,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,19400900,,,,,19400900
8.932,600,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,19400900,14154000,,,,33554900
8.888,600,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,19400900,14154000,16680000,,,50234900
8.189,600,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,19400900,14154000,16680000,21493500,,71728400
8.745,600,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,19400900,14154000,16680000,21493500,23012600,94741000
56.023,600,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,21529960,,,,,42898460
230.662,600,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,21965300,14745600,,,,73249000
26.142,600,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,22018000,14342400,15025920,,,101568280
0,600,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,
27.92,600,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,22037740,14918400,15025920,15360800,18739700,171819520
