Time,Horizon,Shot_duration,Model_Detail,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total,Encoding
21.1,600,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6.0,21973260.0,,,,,21973260.0,multi_shot
17.84,600,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6.0,21965300.0,14572800.0,,,,36538100.0,multi_shot
23.61,600,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6.0,21543660.0,13593600.0,15025920.0,,,50163180.0,multi_shot
13.84,600,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,6.0,22037740.0,14572800.0,15025920.0,15483900.0,,67120360.0,multi_shot
13.76,600,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6.0,22037740.0,14572800.0,15025920.0,15483900.0,18822100.0,85942460.0,multi_shot
12.37,600,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,6.0,19393100.0,,,,,19393100.0,multi_shot
11.51,600,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6.0,19527400.0,14337900.0,,,,33865300.0,multi_shot
31.08,600,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6.0,19269000.0,14337900.0,16680000.0,,,50286900.0,multi_shot
24.19,600,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6.0,19400900.0,13970100.0,16119600.0,21388500.0,,70879100.0,multi_shot
41.9,600,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,6.0,19527400.0,13970100.0,16119600.0,21657700.0,23177400.0,94452200.0,multi_shot
19.02,600,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6.0,21777260.0,,,,,21777260.0,multi_shot
29.89,600,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6.0,21866420.0,14630400.0,,,,36496820.0,multi_shot
22.92,600,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6.0,21805740.0,14630400.0,15025920.0,,,51462060.0,multi_shot
20.22,600,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,6.0,21880120.0,14572800.0,15025920.0,15483900.0,,66962740.0,multi_shot
784.02,600,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6.0,21965300.0,14918400.0,15025920.0,15483900.0,18986900.0,86380420.0,multi_shot
39.65,600,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,6.0,19400900.0,,,,,19400900.0,multi_shot
57.02,600,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6.0,19495700.0,14337900.0,,,,33833600.0,multi_shot
53.92,600,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6.0,19527400.0,14337900.0,16680000.0,,,50545300.0,multi_shot
459.87,600,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6.0,19217100.0,14337900.0,16680000.0,21575600.0,,71810600.0,multi_shot
31.59,600,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,6.0,19269000.0,14337900.0,16680000.0,21821900.0,23754200.0,95863000.0,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,,multi_shot
