Time,Horizon,Shot_duration,Models_per_Shot,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
21.10,600,100,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6,21973260,,,,,21973260
17.84,600,100,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6,21965300,14572800,,,,36538100
23.61,600,100,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6,21543660,13593600,15025920,,,50163180
13.84,600,100,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,6,22037740,14572800,15025920,15483900,,67120360
13.76,600,100,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6,22037740,14572800,15025920,15483900,18822100,85942460
12.37,600,100,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,6,19393100,,,,,19393100
11.51,600,100,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6,19527400,14337900,,,,33865300
31.08,600,100,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6,19269000,14337900,16680000,,,50286900
24.19,600,100,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6,19400900,13970100,16119600,21388500,,70879100
41.90,600,100,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,6,19527400,13970100,16119600,21657700,23177400,94452200
19.02,600,100,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6,21777260,,,,,21777260
29.89,600,100,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6,21866420,14630400,,,,36496820
22.92,600,100,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6,21805740,14630400,15025920,,,51462060
20.22,600,100,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,6,21880120,14572800,15025920,15483900,,66962740
784.02,600,100,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6,21965300,14918400,15025920,15483900,18986900,86380420
39.65,600,100,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,6,19400900,,,,,19400900
57.02,600,100,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6,19495700,14337900,,,,33833600
53.92,600,100,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6,19527400,14337900,16680000,,,50545300
459.87,600,100,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6,19217100,14337900,16680000,21575600,,71810600
31.59,600,100,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,6,19269000,14337900,16680000,21821900,23754200,95863000
0.00,600,100,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,600,100,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,600,100,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,600,100,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,600,100,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
70.56,600,100,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,6,19527400,,,,,19527400
209.09,600,100,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6,19527400,14337900,,,,33865300
419.62,600,100,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6,19527400,14337900,16680000,,,50545300
0.00,600,100,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,600,100,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
13.33,600,150,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,4,22037740,,,,,22037740
13.38,600,150,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,4,22037740,14572800,,,,36610540
13.38,600,150,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,4,22037740,14572800,15025920,,,51636460
13.47,600,150,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,4,22037740,14572800,15025920,15483900,,67120360
14.56,600,150,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,4,22037740,14572800,15025920,15501300,18986900,86124660
31.14,600,150,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,4,19364700,,,,,19364700
28.45,600,150,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,4,19489000,13970100,,,,33459100
67.34,600,150,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,4,19336500,14337900,16680000,,,50354400
11.72,600,150,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,4,19527400,14337900,16680000,21657700,,72203000
34.74,600,150,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,4,19527400,14337900,16680000,21112600,23389300,95047200
13.17,600,150,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,4,21777260,,,,,21777260
13.56,600,150,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,4,21777260,14630400,,,,36407660
13.80,600,150,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,4,21777260,14630400,15025920,,,51433580
14.33,600,150,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,4,21777260,14572800,15025920,15483900,,66859880
16.35,600,150,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,4,21777260,14918400,15025920,15501300,18986900,86209780
42.77,600,150,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,4,19364700,,,,,19364700
29.33,600,150,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,4,19527400,13970100,,,,33497500
26.50,600,150,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,4,19217100,14154000,16680000,,,50051100
40.18,600,150,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,4,19364700,14337900,16680000,21575600,,71958200
14.27,600,150,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,4,19495700,14337900,16680000,21986100,23589400,96089100
0.00,600,150,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,600,150,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,600,150,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,600,150,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,600,150,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
389.53,600,150,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,4,19527400,,,,,19527400
109.84,600,150,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,4,19527400,14337900,,,,33865300
0.00,600,150,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
473.68,600,150,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,4,19527400,14337900,16680000,22232400,,72777700
893.52,600,150,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,4,19527400,14337900,16680000,22232400,23801300,96579000
11.19,600,300,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,2,22037740,,,,,22037740
11.33,600,300,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,2,22037740,14342400,,,,36380140
11.25,600,300,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,2,22037740,14284800,15025920,,,51348460
11.51,600,300,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,2,22037740,14342400,15025920,15483900,,66889960
13.16,600,300,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,2,22037740,14342400,15025920,15483900,18986900,85876860
11.40,600,300,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,2,19527400,,,,,19527400
11.63,600,300,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2,19527400,14337900,,,,33865300
11.75,600,300,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2,19527400,14154000,16680000,,,50361400
11.95,600,300,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,2,19527400,14337900,16680000,21657700,,72203000
12.02,600,300,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,2,19527400,14337900,16680000,21657700,23177400,95380400
407.69,600,300,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,2,22037740,,,,,22037740
13.64,600,300,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,2,22037740,14745600,,,,36783340
13.72,600,300,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,2,22037740,14745600,15025920,,,51809260
13.39,600,300,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,2,22037740,14745600,15025920,15483900,,67293160
13.67,600,300,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,2,22037740,14745600,15025920,15483900,18986900,86280060
45.81,600,300,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,2,19495700,,,,,19495700
27.46,600,300,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2,19495700,14337900,,,,33833600
43.33,600,300,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2,19495700,14337900,16680000,,,50513600
12.30,600,300,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,2,19489000,14337900,16680000,21739800,,72246700
12.26,600,300,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,2,19489000,14337900,16680000,21739800,23224500,95471200
415.72,600,300,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,2,22037740,,,,,22037740
0.00,600,300,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,600,300,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,600,300,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,600,300,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
563.55,600,300,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,2,19527400,,,,,19527400
131.88,600,300,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2,19527400,14337900,,,,33865300
783.19,600,300,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2,19527400,14337900,16680000,,,50545300
0.00,600,300,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,600,300,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
15.31,600,450,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,2,21965300,,,,,21965300
15.69,600,450,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,2,21965300,14112000,,,,36077300
15.11,600,450,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,2,21965300,14112000,15025920,,,51103220
16.00,600,450,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,2,21965300,14112000,15025920,15483900,,66587120
15.40,600,450,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,2,21965300,14112000,15025920,15483900,18822100,85409220
63.84,600,450,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,2,19527400,,,,,19527400
21.29,600,450,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2,19495700,13970100,,,,33465800
40.44,600,450,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2,19217100,14337900,16680000,,,50235000
31.71,600,450,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,2,19495700,13970100,16119600,21388500,,70973900
38.15,600,450,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,2,19527400,14337900,16680000,21575600,23059700,95180600
181.36,600,450,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,2,22037740,,,,,22037740
18.25,600,450,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,2,21777260,14630400,,,,36407660
29.82,600,450,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,2,22037740,14284800,15025920,,,51348460
26.96,600,450,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,2,21880120,14112000,15025920,15475200,,66493240
15.89,600,450,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,2,21973260,14572800,15025920,15483900,18822100,85877980
31.80,600,450,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,2,19489000,,,,,19489000
22.00,600,450,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2,19269000,14337900,,,,33606900
48.29,600,450,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2,19217100,14337900,16680000,,,50235000
47.28,600,450,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,2,19217100,14337900,16680000,21657700,,71892700
14.80,600,450,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,2,19495700,13970100,16119600,21657700,23177400,94420500
0.00,600,450,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
146.31,600,450,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2,19527400,14337900,,,,33865300
368.41,600,450,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2,19527400,14337900,16680000,,,50545300
667.77,600,450,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,2,19527400,14337900,16680000,22232400,,72777700
0.00,600,450,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
29.44,900,100,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,9,31379340,,,,,31379340
29.85,900,100,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,9,31379340,21139200,,,,52518540
243.22,900,100,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,9,29608480,19584000,22047180,,,71239660
30.69,900,100,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,9,31344460,21139200,22538880,21129700,,96152240
702.05,900,100,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,9,31010940,21484800,22870120,20680800,24778200,120824860
25.17,900,100,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,9,28824400,,,,,28824400
25.30,900,100,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,9,28824400,20929800,,,,49754200
24.80,900,100,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,9,28824800,20534000,24949800,,,74308600
25.09,900,100,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,9,28824400,20929800,24949800,33531500,,108235500
25.96,900,100,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,9,28824400,20929800,24949800,33531500,35855000,144090500
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
243.04,900,100,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,9,30808380,20793600,,,,51601980
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
176.25,900,100,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,9,30748660,20793600,22494180,20780700,,94817140
306.90,900,100,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,9,30714900,20736000,22449480,20483100,24448600,118832080
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
332.26,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,9,28959200,21329400,25323400,32959600,35772600,144344200
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
29.33,900,150,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6,31292880,,,,,31292880
29.14,900,150,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6,31292880,21024000,,,,52316880
232.40,900,150,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6,29389160,19929600,21644880,,,70963640
