Time,Horizon,Shot_duration,Models_per_Shot,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
12.48,600,100,1,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350].lp,6,19508900,,,,,19508900
12.58,600,100,1,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350].lp,6,19508900,12326400,,,,31835300
25.41,600,100,1,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350].lp,6,19607140,12384000,12525020,,,44516160
0.00,600,100,1,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
35.88,600,100,1,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350].lp,6,19166560,12038400,12525020,13501100,17009300,74240380
30.93,600,100,1,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350].lp,6,17209800,,,,,17209800
11.23,600,100,1,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350].lp,6,16960700,11428800,,,,28389500
11.50,600,100,1,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350].lp,6,16960700,11428800,13644500,,,42034000
11.46,600,100,1,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350].lp,6,16960700,11428800,13644500,24941700,,66975700
0.00,600,100,1,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
17.34,600,100,2,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350].lp,6,19938340,,,,,19938340
14.40,600,100,2,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350].lp,6,18929480,12038400,,,,30967880
17.14,600,100,2,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350].lp,6,19721000,12441600,12706120,,,44868720
18.05,600,100,2,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350].lp,6,19893100,12729600,12706120,13627100,,58955920
87.46,600,100,2,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350].lp,6,19332160,12038400,12327880,13386700,16926900,74012040
0.00,600,100,2,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,600,100,2,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
