Time,Horizon,Shot_duration,Models_per_Shot,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
16.03,600,100,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6,21973260,,,,,21973260
13.87,600,100,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6,21965300,14572800,,,,36538100
20.09,600,100,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6,21543660,13593600,15025920,,,50163180
11.32,600,100,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,6,22037740,14572800,15025920,15483900,,67120360
11.28,600,100,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6,22037740,14572800,15025920,15483900,18822100,85942460
10.21,600,100,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,6,19393100,,,,,19393100
9.73,600,100,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6,19527400,14337900,,,,33865300
20.64,600,100,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6,19269000,14337900,16680000,,,50286900
17.16,600,100,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6,19400900,13970100,16119600,21388500,,70879100
27.40,600,100,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,6,19527400,13970100,16119600,21657700,23177400,94452200
11.17,600,100,1,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,6,16299780,,,,,16299780
11.20,600,100,1,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,6,16299780,13651200,,,,29950980
15.31,600,100,1,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,6,16299780,13651200,15204720,,,45155700
25.96,600,100,1,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,6,16278920,13824000,15204720,13656100,,58963740
22.76,600,100,1,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,6,16315700,13824000,14847120,13404100,14019600,72410520
11.56,600,100,1,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,6,20791720,,,,,20791720
11.12,600,100,1,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,6,20791720,15321600,,,,36113320
11.07,600,100,1,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,6,20791720,15321600,15061480,,,51174800
11.18,600,100,1,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,6,20791720,15321600,15061480,14656200,,65831000
11.64,600,100,1,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,6,20791720,15321600,15061480,14656200,16679600,82510600
17.78,600,100,1,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,6,14145720,,,,,14145720
16.37,600,100,1,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,6,14145720,12153600,,,,26299320
20.79,600,100,1,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,6,14145720,12153600,12957160,,,39256480
24.87,600,100,1,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,6,13996680,12153600,12957160,13180300,,52287740
13.80,600,100,1,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,6,14145720,12153600,12957160,13191900,14219500,66667880
15.28,600,100,1,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,6,7170300,,,,,7170300
14.23,600,100,1,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,6,7170300,5414400,,,,12584700
11.10,600,100,1,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,6,7170300,5875200,6389740,,,19435240
23.89,600,100,1,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,6,7170300,5414400,6389740,6234700,,25209140
11.22,600,100,1,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,6,7170300,5875200,6389740,6240500,6085800,31761540
11.00,600,100,1,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,6,20794420,,,,,20794420
11.14,600,100,1,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,6,20794420,15321600,,,,36116020
11.21,600,100,1,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,6,20794420,15321600,15240280,,,51356300
11.26,600,100,1,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,6,20794420,15321600,15240280,16246500,,67602800
11.32,600,100,1,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,6,20794420,15321600,15240280,16246500,17715700,85318500
14.75,600,100,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6,21777260,,,,,21777260
22.47,600,100,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6,21866420,14630400,,,,36496820
18.78,600,100,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6,21805740,14630400,15025920,,,51462060
18.45,600,100,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,6,21880120,14572800,15025920,15483900,,66962740
550.13,600,100,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6,21965300,14918400,15025920,15483900,18986900,86380420
31.26,600,100,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,6,19400900,,,,,19400900
46.51,600,100,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6,19495700,14337900,,,,33833600
44.32,600,100,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6,19527400,14337900,16680000,,,50545300
445.02,600,100,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6,19217100,14337900,16680000,21575600,,71810600
28.10,600,100,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,6,19269000,14337900,16680000,21821900,23754200,95863000
16.75,600,100,2,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,6,16315700,,,,,16315700
0.00,600,100,2,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,,
0.00,600,100,2,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,,,,,,,
